Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
333,Khalid Al Ghannam,MF,sa Saudi Arabia,25,1.sa Al-Ettifaq,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
334,Ismaël Gharbi,MF,tn Tunisia,22,1.de Augsburg,2004,3,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
335,Mehdi Ghayedi,FW,ir IR Iran,27,1.ae Al-Nasr Dubai,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
336,Farés Ghedjemis,"FW,MF",dz Algeria,23,2.it Frosinone,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
337,Saman Ghoddos,MF,ir IR Iran,32,1.ae Al-Ittihad Kalba,1993,3,3,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
338,Mohammad Ghorbani,MF,ir IR Iran,25,1.ae Al-Wahda FC,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
339,Lee Gi-hyuk,DF,kr Korea Republic,25,1.kr Gangwon FC,2000,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
340,Armin Gigovic,MF,ba Bosnia–Herz,24,1.ch Young Boys,2002,2,1,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
341,Orlando Gill,GK,py Paraguay,26,1.py San Lorenzo,2000,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
342,Santiago Giménez,FW,mx Mexico,25,1.it Milan,2001,4,0,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
343,Aníbal Godoy,MF,pa Panama,36,1.us San Diego FC,1990,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
344,Andrés Gómez,MF,co Colombia,23,1.br Vasco da Gama,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
345,Diego Gómez,MF,py Paraguay,23,1.eng Brighton,2003,4,4,304,3.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
346,Gustavo Gómez,DF,py Paraguay,33,1.br Palmeiras,1993,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
347,Armando González,FW,mx Mexico,23,1.mx Guadalajara,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
348,Nicolás González,MF,ar Argentina,28,1.es Atlético Madrid,1998,7,1,259,2.9,0,1,1,0,0,0,0,0,0,0.35,0.35,0,0.35,Matches
349,Anthony Gordon,MF,eng England,25,1.es Barcelona,2001,6,5,396,4.4,1,3,4,1,0,0,0,0,0.23,0.68,0.91,0.23,0.91,Matches
350,Leon Goretzka,MF,de Germany,31,1.de Bayern Munich,1995,3,0,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
351,Kenji Gorré,"FW,MF",cw Curaçao,31,1.il Maccabi Haifa,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
352,Keisuke Got?,FW,jp Japan,21,1.be Sint-Truiden,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
353,Amine Gouiri,FW,dz Algeria,26,1.fr Marseille,2000,4,3,251,2.8,1,0,1,1,0,0,0,0,0.36,0,0.36,0.36,0.36,Matches
354,Ryan Gravenberch,MF,nl Netherlands,24,1.eng Liverpool,2002,4,4,345,3.8,0,2,2,0,0,0,0,0,0,0.52,0.52,0,0.52,Matches
355,Michael Gregoritsch,FW,at Austria,32,1.de Augsburg,1994,3,2,188,2.1,0,1,1,0,0,0,0,0,0,0.48,0.48,0,0.48,Matches
356,Florian Grillitsch,"DF,MF",at Austria,30,1.pt Braga,1995,2,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
357,Pascal Groß,"DF,MF",de Germany,34,1.eng Brighton,1991,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
358,Gabriel Gudmundsson,"MF,DF",se Sweden,27,1.eng Leeds United,1999,4,4,330,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
359,Cho Gue-sung,FW,kr Korea Republic,28,1.dk Midtjylland,1998,2,0,31,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
360,Marc Guéhi,DF,eng England,25,1.eng Manchester City,2000,8,7,663,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
361,Evann Guessand,"FW,MF",ci Côte d'Ivoire,24,1.eng Crystal Palace,2001,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
362,Idrissa Gueye,MF,sn Senegal,36,1.eng Everton,1989,4,4,361,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
363,Pape Gueye,MF,sn Senegal,27,1.es Villarreal,1999,4,3,234,2.6,2,1,3,2,0,0,1,0,0.77,0.38,1.15,0.77,1.15,Matches
364,Bruno Guimarães,MF,br Brazil,28,1.eng Newcastle,1997,5,5,416,4.6,0,4,4,0,0,1,0,0,0,0.87,0.87,0,0.87,Matches
365,Deniz Gül,FW,tr Türkiye,21,1.pt Porto,2004,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
366,Arda Güler,MF,tr Türkiye,21,1.es Real Madrid,2005,3,3,270,3,1,0,1,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
367,Angus Gunn,GK,sct Scotland,30,1.eng Nottingham,1996,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
368,Malo Gusto,DF,fr France,23,1.eng Chelsea,2003,5,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
369,Brian Gutiérrez,MF,mx Mexico,22,1.mx Guadalajara,2003,4,2,198,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
370,Jorge Gutiérrez,DF,pa Panama,27,1.ve Dep. La Guaira,1998,1,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
371,Joško Gvardiol,DF,hr Croatia,24,1.eng Manchester City,2002,4,2,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
372,Viktor Gyökeres,FW,se Sweden,28,1.eng Arsenal,1998,4,4,360,4,1,2,3,1,0,0,1,0,0.25,0.5,0.75,0.25,0.75,Matches
373,Aziz G?aniyev,MF,uz Uzbekistan,28,,1998,2,1,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
374,Erling Haaland,FW,no Norway,25,1.eng Manchester City,2000,5,5,465,5.2,7,0,7,7,0,0,0,0,1.35,0,1.35,1.35,1.35,Matches
375,Ihsan Haddad,DF,jo Jordan,32,1.jo Al-Hussein SC,1994,3,3,260,2.9,0,1,1,0,0,0,0,0,0,0.35,0.35,0,0.35,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
376,Anis Hadj Moussa,MF,dz Algeria,24,1.nl Feyenoord,2002,3,1,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
377,Jaouen Hadjam,DF,dz Algeria,23,1.ch Young Boys,2003,3,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
378,Amir Hadžiahmetovi?,MF,ba Bosnia–Herz,29,2.eng Hull City,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
379,Dennis Hadžikaduni?,DF,ba Bosnia–Herz,27,2.it Sampdoria,1998,1,0,27,0.3,0,1,1,0,0,0,0,0,0,3.33,3.33,0,3.33,Matches
380,Karim Hafez,DF,eg Egypt,30,1.eg Pyramids FC,1996,3,2,172,1.9,0,1,1,0,0,0,0,0,0,0.52,0.52,0,0.52,Matches
381,Ehsan Hajsafi,DF,ir IR Iran,36,1.ir Sepahan,1990,2,1,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
382,Achraf Hakimi,DF,ma Morocco,27,1.fr PSG,1998,6,6,570,6.3,1,2,3,1,0,0,1,0,0.16,0.32,0.47,0.16,0.47,Matches
383,Redouane Halhal,DF,ma Morocco,23,1.be Mechelen,2003,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
384,Ali Al Hamadi,FW,iq Iraq,24,2.eng Ipswich Town,2002,3,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
385,Abdullah Al-Hamdan,FW,sa Saudi Arabia,26,1.sa Al-Nassr,1999,3,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
386,Mohamed Amine Ben Hamida,DF,tn Tunisia,30,1.tn Espérance Tunis,1995,3,2,202,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
387,Odiljon Hamrobekov,MF,uz Uzbekistan,30,1.ir Tractor,1996,2,1,77,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
388,Lee Han-beom,DF,kr Korea Republic,23,1.dk Midtjylland,2002,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
389,Grant Hanley,DF,sct Scotland,34,1.sct Hibernian,1991,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
390,Sontje Hansen,FW,cw Curaçao,24,2.eng Middlesbrough,2002,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
391,Mohamed Hany,DF,eg Egypt,30,1.eg Al Ahly,1996,5,5,480,5.3,0,1,1,0,0,0,0,0,0,0.19,0.19,0,0.19,Matches
392,Moteb Al-Harbi,DF,sa Saudi Arabia,26,1.sa Al-Hilal,2000,3,2,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
393,Saleh Hardani,DF,ir IR Iran,27,1.ir Esteghlal,1998,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
394,Carlos Harvey,MF,pa Panama,26,1.us Minnesota Utd,2000,3,3,267,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
395,Akam Hashim,DF,iq Iraq,27,1.iq Al-Zawra'a SC,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
396,Haissem Hassan,MF,eg Egypt,24,1.es Oviedo,2002,2,1,126,1.4,0,1,1,0,0,0,2,0,0,0.71,0.71,0,0.71,Matches
397,Jalal Hassan,GK,iq Iraq,35,1.iq Al-Zawra'a SC,1991,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
398,Abdulaziz Hatem,MF,qa Qatar,36,1.qa Al Rayyan SC,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
399,Jorrel Hato,DF,nl Netherlands,20,1.eng Chelsea,2006,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
400,Kai Havertz,FW,de Germany,27,1.eng Arsenal,1999,4,4,353,3.9,3,0,3,2,1,1,1,0,0.76,0,0.76,0.51,0.51,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
401,Hassan Al-Haydos,MF,qa Qatar,35,1.qa Al Sadd,1990,2,1,57,0.6,1,0,1,1,0,0,0,0,1.58,0,1.58,1.58,1.58,Matches
402,Jan Paul van Hecke,DF,nl Netherlands,26,1.eng Brighton,2000,4,4,390,4.3,1,0,1,1,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches
403,Hwang Hee-chan,FW,kr Korea Republic,30,1.eng Wolves,1996,3,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
404,Torbjørn Heggem,DF,no Norway,27,1.it Bologna,1999,5,5,443,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
405,Alaa Al Hejji,MF,sa Saudi Arabia,30,1.sa Neom,1995,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
406,Dean Henderson,GK,eng England,29,1.eng Crystal Palace,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
407,Jordan Henderson,MF,eng England,35,1.eng Brentford,1990,1,0,7,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
408,Jack Hendry,DF,sct Scotland,31,1.sa Al-Ettifaq,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
409,Luiz Henrique,"FW,MF",br Brazil,25,1.ru Zenit,2001,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
410,Theo Hernández,DF,fr France,28,1.sa Al-Hilal,1997,5,3,257,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
411,Lucas Herrington,DF,au Australia,18,1.us Colorado Rapids,2007,2,2,210,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
412,Son Heung-min,FW,kr Korea Republic,33,1.us LAFC,1992,3,2,169,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
413,Aaron Hickey,DF,sct Scotland,24,1.eng Brentford,2002,1,1,74,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
414,Isak Hien,DF,se Sweden,27,1.it Atalanta,1999,3,3,216,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
415,Piero Hincapié,DF,ec Ecuador,24,1.eng Arsenal,2002,4,4,339,3.8,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
416,Adam Hložek,FW,cz Czechia,23,1.de Hoffenheim,2002,3,2,156,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
417,Tomáš Holeš,DF,cz Czechia,33,1.cz Slavia Prague,1993,2,2,153,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
418,Amirhossein Hosseinzadeh,FW,ir IR Iran,25,1.ir Tractor,2000,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
419,Robin Hraná?,DF,cz Czechia,26,1.de Hoffenheim,2000,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
420,Ajdin Hrustic,MF,au Australia,29,1.nl Heracles Almelo,1996,2,0,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
421,César Huerta,"FW,MF",mx Mexico,25,1.be Anderlecht,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
422,Al-Hashmi Al-Hussain,MF,qa Qatar,22,1.qa Al-Arabi,2003,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
423,Ayman Hussein,FW,iq Iraq,30,1.iq Al-Karma,1996,2,2,115,1.3,1,0,1,1,0,0,0,0,0.78,0,0.78,0.78,0.78,Matches
424,Oh Hyeon-gyu,FW,kr Korea Republic,25,1.tr Be?ikta?,2001,3,1,129,1.4,1,0,1,1,0,0,0,0,0.7,0,0.7,0.7,0.7,Matches
425,Yang Hyun-jun,"FW,MF",kr Korea Republic,24,1.sct Celtic,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
426,Roger Ibanez,DF,br Brazil,27,1.sa Al-Ahli,1998,1,1,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
427,Yasser Ibrahim,DF,eg Egypt,33,1.eg Al Ahly,1993,5,4,467,5.2,1,0,1,1,0,0,2,0,0.19,0,0.19,0.19,0.19,Matches
428,Borja Iglesias,FW,es Spain,33,1.es Celta Vigo,1993,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
429,Hwang In-beom,MF,kr Korea Republic,29,1.nl Feyenoord,1996,3,3,263,2.9,1,1,2,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,Matches
430,Christ Inao Oulaï,MF,ci Côte d'Ivoire,20,1.tr Trabzonspor,2006,4,2,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
431,Zidane Iqbal,MF,iq Iraq,23,1.nl Utrecht,2003,3,2,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
432,Nestory Irankunda,"FW,MF",au Australia,20,2.eng Watford,2006,4,3,261,2.9,1,0,1,1,0,0,0,0,0.34,0,0.34,0.34,0.34,Matches
433,Jackson Irvine,MF,au Australia,33,1.de St Pauli,1993,4,2,223,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
434,Alexander Isak,FW,se Sweden,26,1.eng Liverpool,1999,4,4,357,4,1,3,4,1,0,0,0,0,0.25,0.76,1.01,0.25,1.01,Matches
435,Wilson Isidor,FW,ht Haiti,25,1.eng Sunderland,2000,3,2,186,2.1,1,0,1,1,0,0,0,0,0.48,0,0.48,0.48,0.48,Matches
436,Jamshid Iskanderov,"FW,MF",uz Uzbekistan,32,1.uz Neftchi FK,1993,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
437,Zaid Ismail,MF,iq Iraq,24,1.iq Al-Talaba,2002,2,2,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
438,Ko Itakura,DF,jp Japan,29,1.nl Ajax,1997,2,2,128,1.4,0,1,1,0,0,0,0,0,0,0.7,0.7,0,0.7,Matches
439,Jacob Italiano,DF,au Australia,24,1.at Grazer AK,2001,2,2,163,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
440,Hiroki Ito,DF,jp Japan,27,1.de Bayern Munich,1999,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
441,Junya It?,MF,jp Japan,33,1.be Genk,1993,4,2,216,2.4,1,0,1,1,0,0,0,0,0.42,0,0.42,0.42,0.42,Matches
442,Cedric Itten,"FW,MF",ch Switzerland,29,2.de Düsseldorf,1996,3,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
443,Nicolas Jackson,FW,sn Senegal,24,1.de Bayern Munich,2001,4,2,234,2.6,0,1,1,0,0,0,0,0,0,0.38,0.38,0,0.38,Matches
444,Lee Jae-sung,FW,kr Korea Republic,33,1.de Mainz 05,1992,2,2,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
445,Alireza Jahanbakhsh,"FW,MF",ir IR Iran,32,1.be Dender,1993,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
446,Ismail Jakobs,DF,sn Senegal,26,1.tr Galatasaray,1999,3,2,219,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
447,Reece James,DF,eng England,26,1.eng Chelsea,1999,5,3,319,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
448,Amer Jamous,MF,jo Jordan,23,1.iq Al-Zawra'a SC,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
449,Luca Jaquez,DF,ch Switzerland,23,1.de Stuttgart,2003,2,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
450,Ardon Jashari,MF,ch Switzerland,23,1.it Milan,2002,3,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
451,Ali Jasim,MF,iq Iraq,22,1.sa Al-Najma,2004,2,2,129,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
452,Danley Jean-Jacques,MF,ht Haiti,26,1.us Philadelphia,2000,3,3,259,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
453,Eom Ji-sung,MF,kr Korea Republic,24,2.eng Swansea City,2002,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
454,Raúl Jiménez,FW,mx Mexico,35,1.eng Fulham,1991,4,4,317,3.5,3,0,3,2,1,1,0,0,0.85,0,0.85,0.57,0.57,Matches
455,Kim Jin-gyu,MF,kr Korea Republic,29,1.kr Jeonbuk,1997,2,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
456,Park Jinseob,"DF,MF",kr Korea Republic,30,1.cn Zhejiang,1995,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
457,Ruslanbek Jiyanov,FW,uz Uzbekistan,25,1.uz Navbahor,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
458,Alistair Johnston,DF,ca Canada,27,1.sct Celtic,1998,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
459,Frenkie de Jong,MF,nl Netherlands,29,1.es Barcelona,1997,4,4,328,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
460,Lenny Joseph,FW,ht Haiti,25,1.hu Ferencváros,2000,3,1,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
461,Edmilson Junior,"MF,FW",qa Qatar,31,1.qa Al Duhail SC,1994,3,3,210,2.3,0,1,1,0,0,0,0,0,0,0.43,0.43,0,0.43,Matches
462,Vinicius Júnior,FW,br Brazil,25,1.es Real Madrid,2000,5,5,440,4.9,4,1,5,4,0,0,0,0,0.82,0.2,1.02,0.82,1.02,Matches
463,Elijah Just,MF,nz New Zealand,26,1.sct Motherwell,2000,3,3,264,2.9,3,0,3,3,0,0,1,0,1.02,0,1.02,1.02,1.02,Matches
464,Musab Al Juwayr,"MF,FW",sa Saudi Arabia,22,1.sa Al-Qadsiah,2003,3,2,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
465,Ayoub El Kaabi,FW,ma Morocco,32,1.gr Olympiacos,1993,1,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
466,Ozan Kabak,DF,tr Türkiye,26,1.de Hoffenheim,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
467,Ferdi Kadioglu,DF,tr Türkiye,26,1.eng Brighton,1999,2,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
468,Kaku,MF,py Paraguay,31,1.ae Al Ain,1995,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
469,Saša Kalajdži?,FW,at Austria,28,1.at LASK,1997,3,1,77,0.9,1,0,1,1,0,0,0,0,1.17,0,1.17,1.17,1.17,Matches
470,Gédéon Kalulu,DF,cd Congo DR,28,1.cy Aris Limassol,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
471,Daichi Kamada,MF,jp Japan,29,1.eng Crystal Palace,1996,4,4,329,3.7,2,0,2,2,0,0,1,0,0.55,0,0.55,0.55,0.55,Matches
472,Hossein Kanaanizadegan,DF,ir IR Iran,32,1.ir Persepolis,1994,2,2,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
473,Harry Kane,FW,eng England,32,1.de Bayern Munich,1993,7,7,652,7.2,6,1,7,4,2,2,0,0,0.83,0.14,0.97,0.55,0.69,Matches
474,Lee Kang-in,FW,kr Korea Republic,25,1.fr PSG,2001,3,3,270,3,0,1,1,0,0,0,1,0,0,0.33,0.33,0,0.33,Matches
475,Mohamed Kanno,MF,sa Saudi Arabia,31,1.sa Al-Hilal,1994,3,2,225,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
476,Steve Kapuadi,DF,cd Congo DR,28,1.pl Widzew ?ód?,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
477,Bekhruz Karimov,DF,uz Uzbekistan,18,1.uz FC Surkhon,2007,2,2,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
478,Jesper Karlström,MF,se Sweden,30,1.it Udinese,1995,2,2,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
479,Gervane Kastaneer,"FW,MF",cw Curaçao,30,1.my Terengganu City,1996,3,0,30,0.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
480,Nikola Kati?,DF,ba Bosnia–Herz,29,2.de Schalke 04,1996,4,4,317,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
481,Edo Kayembe,MF,cd Congo DR,28,2.eng Watford,1998,3,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
482,Joris Kayembe,"DF,FW",cd Congo DR,31,1.be Genk,1994,4,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
483,Franck Kessié,MF,ci Côte d'Ivoire,29,1.sa Al-Ahli,1996,4,4,346,3.8,1,0,1,1,0,0,1,0,0.26,0,0.26,0.26,0.26,Matches
484,Abdullah Al-Khaibari,MF,sa Saudi Arabia,29,1.sa Al-Nassr,1996,3,3,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
485,Shoja' Khalilzadeh,DF,ir IR Iran,37,1.ir Tractor,1989,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
486,Dostonbek Khamdamov,MF,uz Uzbekistan,29,1.uz Pakhtakor Tashkent FK,1996,2,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
487,Bilal El Khannouss,"MF,FW",ma Morocco,22,1.de Stuttgart,2004,6,6,461,5.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
488,Rani Khedira,MF,tn Tunisia,32,1.de Union Berlin,1994,3,2,149,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
489,Boualem Khoukhi,DF,qa Qatar,35,1.qa Al Sadd,1990,3,3,270,3,1,0,1,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
490,Abdukodir Khusanov,DF,uz Uzbekistan,22,1.eng Manchester City,2004,3,3,270,3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
491,Joshua Kimmich,DF,de Germany,31,1.de Bayern Munich,1995,4,4,351,3.9,0,2,2,0,0,0,0,0,0,0.51,0.51,0,0.51,Matches
492,Justin Kluivert,"FW,MF",nl Netherlands,27,1.eng Bournemouth,1999,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
493,Gregor Kobel,GK,ch Switzerland,28,1.de Dortmund,1997,6,6,600,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
494,Orkun Kökçü,MF,tr Türkiye,25,1.tr Be?ikta?,2000,3,2,153,1.7,0,1,1,0,0,0,0,0,0,0.59,0.59,0,0.59,Matches
495,Sead Kolašinac,DF,ba Bosnia–Herz,32,1.it Atalanta,1993,4,4,337,3.7,0,1,1,0,0,0,0,0,0,0.27,0.27,0,0.27,Matches
496,Ghislain Konan,DF,ci Côte d'Ivoire,30,1.pt Gil Vicente FC,1995,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
497,Ibrahima Konaté,DF,fr France,27,1.eng Liverpool,1999,2,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
498,Ismaël Koné,MF,ca Canada,23,1.it Sassuolo,2002,2,2,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
